input_filename, alice_singles_rate, bob_singles_rate, coincidence_window(ps), coincidence_count_rate, sifted_key_length, num_error, QBER, hv_count,ad_count,alice_efficiency(%), bob_effeciency(%),duration(s),hv_QBER,ad_QBER
1_8mW37dB.ttbin,2182642.909706,1315.624922,1500,109.466881,2738,83,0.030314,1704,1034,8.320524,0.005015,49.942046,0.024648,0.039652
1_8mW00dB.ttbin,2260359.548412,2551042.774403,1500,577418.753078,14507731,195108,0.013449,9243756,5263975,22.634617,25.545438,49.931113,0.009281,0.020767
1_8mW30dB.ttbin,2357890.895447,3474.041659,1500,600.235575,14939,341,0.022826,9629,5310,17.277731,0.025456,49.995371,0.012255,0.041996
1_8mW31dB.ttbin,2328810.152734,2881.213655,1500,466.873796,11688,287,0.024555,7424,4264,16.204067,0.020048,49.955684,0.015894,0.039634
1_8mW32dB.ttbin,2208896.003682,2578.353669,1500,392.781903,9809,258,0.026302,6257,3552,15.233826,0.017782,49.918288,0.012946,0.049831
1_8mW33dB.ttbin,2154303.569215,2123.843522,1500,289.890017,7232,160,0.022124,4611,2621,13.649311,0.013456,49.918932,0.016265,0.032430
1_8mW34dB.ttbin,2193458.324153,1820.883039,1500,225.834480,5688,136,0.023910,3675,2013,12.402470,0.010296,49.974654,0.020680,0.029806
1_8mW35dB.ttbin,2251850.916049,1589.659836,1500,171.841596,4284,82,0.019141,2722,1562,10.809960,0.007631,49.970439,0.018001,0.021127
1_8mW36dB.ttbin,2282477.598281,1495.302088,1500,152.308926,3723,81,0.021757,2354,1369,10.185830,0.006673,49.951111,0.019541,0.025566
1_8mW38dB.ttbin,2146158.815815,1263.093963,1500,99.921796,2469,75,0.030377,1609,860,7.910876,0.004656,49.959070,0.021753,0.046512
1_8mW39dB.ttbin,2096220.067487,1126.892975,1500,72.214154,1814,52,0.028666,1166,648,6.408253,0.003445,49.976352,0.022298,0.040123
1_8mW40dB.ttbin,2196024.539166,1122.737392,1500,65.253113,1616,63,0.038985,1016,600,5.811966,0.002971,50.020602,0.029528,0.055000

