,elevation,distance,lossDB,transmission_factor,lossDB_Round,coincidences,QBER,sifted_key_per_sec,error_bits
0,30.04918090482178,908488.6617166549,-38.641248731711315,0.00013673356175513738,-39.0,205,0.055066,111.25919642750064,6.1265989104767495
1,30.192750034780317,905436.394995098,-38.586214265385166,0.00013847729562851206,-39.0,205,0.055066,111.25919642750064,6.1265989104767495
2,30.337182188255497,902388.595819187,-38.53123009224539,0.0001402416428985763,-39.0,205,0.055066,111.25919642750064,6.1265989104767495
3,30.482484849449687,899345.3105473979,-38.47629608165551,0.0001420268293501034,-38.0,282,0.052209000000000005,152.2914353371647,7.950983547518033
4,30.62866556880774,896306.5860955255,-38.42141212077337,0.00014383308248844183,-38.0,282,0.052209000000000005,152.2914353371647,7.950983547518033
5,30.77573196331302,893272.4699437977,-38.36657811477298,0.00014566063151724988,-38.0,282,0.052209000000000005,152.2914353371647,7.950983547518033
6,30.92369171677056,890243.0101440599,-38.31179398707207,0.00014750970731437196,-38.0,282,0.052209000000000005,152.2914353371647,7.950983547518033
7,31.072552580077033,887218.2553270407,-38.25705967956506,0.00014938054240579165,-38.0,282,0.052209000000000005,152.2914353371647,7.950983547518033
8,31.222322371477738,884198.2547096943,-38.20237515286157,0.0001512733709375806,-38.0,282,0.052209000000000005,152.2914353371647,7.950983547518033
9,31.373008976808613,881183.0581026217,-38.1477403865306,0.00015318842864577004,-38.0,282,0.052209000000000005,152.2914353371647,7.950983547518033
10,31.524620349722944,878172.7159175621,-38.0931553793504,0.00015512595282406253,-38.0,282,0.052209000000000005,152.2914353371647,7.950983547518033
11,31.677164511902866,875167.279174972,-38.03862014956408,0.0001570861822893003,-38.0,282,0.052209000000000005,152.2914353371647,7.950983547518033
12,31.830649553253544,872166.7995116707,-37.984134735140955,0.0001590693573446138,-38.0,282,0.052209000000000005,152.2914353371647,7.950983547518033
13,31.985083632080247,869171.3291885684,-37.9296991940438,0.00016107571974015257,-38.0,282,0.052209000000000005,152.2914353371647,7.950983547518033
14,32.14047497524708,866180.92109847,-37.875313604502,0.00016310551263131712,-38.0,282,0.052209000000000005,152.2914353371647,7.950983547518033
15,32.29683187831621,863195.6287739492,-37.820978065290596,0.0001651589805343987,-38.0,282,0.052209000000000005,152.2914353371647,7.950983547518033
16,32.45416270566756,860215.5063953056,-37.76669269601544,0.00016723636927952915,-38.0,282,0.052209000000000005,152.2914353371647,7.950983547518033
17,32.61247589059697,857240.6087985884,-37.71245763740428,0.0001693379259608491,-38.0,282,0.052209000000000005,152.2914353371647,7.950983547518033
18,32.77177993539289,854270.9914836994,-37.65827305160405,0.00017146389888379203,-38.0,282,0.052209000000000005,152.2914353371647,7.950983547518033
19,32.93208341138989,851306.7106225672,-37.60413912248428,0.00017361453750938216,-38.0,282,0.052209000000000005,152.2914353371647,7.950983547518033
20,33.09339495899852,848347.8230673952,-37.55005605594664,0.0001757900923954456,-38.0,282,0.052209000000000005,152.2914353371647,7.950983547518033
21,33.25572328770975,845394.3863589767,-37.49602408024088,0.0001779908151346192,-37.0,351,0.046636000000000004,190.4620205018333,8.8823867881235
22,33.419077176073976,842446.4587350861,-37.442043446286874,0.00018021695828905802,-37.0,351,0.046636000000000004,190.4620205018333,8.8823867881235
23,33.583465471652424,839504.0991389365,-37.388114428003135,0.0001824687753217196,-37.0,351,0.046636000000000004,190.4620205018333,8.8823867881235
24,33.74889709094054,836567.3672277047,-37.334237322641606,0.00018474652052411509,-37.0,351,0.046636000000000004,190.4620205018333,8.8823867881235
25,33.915381019261844,833636.3233811264,-37.2804124511289,0.00018705044894040663,-37.0,351,0.046636000000000004,190.4620205018333,8.8823867881235
26,34.08292631063112,830711.0287101538,-37.22664015841398,0.00018938081628773056,-37.0,351,0.046636000000000004,190.4620205018333,8.8823867881235
27,34.25154208758595,827791.54506568,-37.1729208138222,0.00019173787887262703,-37.0,351,0.046636000000000004,190.4620205018333,8.8823867881235
28,34.4212375409845,824877.9350473235,-37.11925481141608,0.00019412189350343767,-37.0,351,0.046636000000000004,190.4620205018333,8.8823867881235
29,34.59202192976959,821970.262012276,-37.06564257036225,0.00019653311739856318,-37.0,351,0.046636000000000004,190.4620205018333,8.8823867881235
30,34.76390458069626,819068.5900842076,-37.01208453530529,0.00019897180809042405,-37.0,351,0.046636000000000004,190.4620205018333,8.8823867881235
31,34.936894888022465,816172.9841622305,-36.95858117674792,0.00020143822332500906,-37.0,351,0.046636000000000004,190.4620205018333,8.8823867881235
32,35.11100231316081,813283.5099299153,-36.90513299143776,0.00020393262095686957,-37.0,351,0.046636000000000004,190.4620205018333,8.8823867881235
33,35.28623638429041,810400.2338643637,-36.8517405027608,0.00020645525883941206,-37.0,351,0.046636000000000004,190.4620205018333,8.8823867881235
34,35.46260669592705,807523.2232453293,-36.7984042611413,0.0002090063947103584,-37.0,351,0.046636000000000004,190.4620205018333,8.8823867881235
35,35.640122908449754,804652.5461643862,-36.74512484444846,0.0002115862860722179,-37.0,351,0.046636000000000004,190.4620205018333,8.8823867881235
36,35.818794747583006,801788.2715341436,-36.6919028584095,0.00021419519006763235,-37.0,351,0.046636000000000004,190.4620205018333,8.8823867881235
37,35.99863200383219,798930.4690975042,-36.638738937029416,0.00021683336334943926,-37.0,351,0.046636000000000004,190.4620205018333,8.8823867881235
38,36.17964453187114,796079.2094369604,-36.5856337430173,0.0002195010619453008,-37.0,351,0.046636000000000004,190.4620205018333,8.8823867881235
39,36.3618422498794,793234.5639839257,-36.532587968219126,0.00022219854111674722,-37.0,351,0.046636000000000004,190.4620205018333,8.8823867881235
